,Mensch,Zeit,Temperatur,Witterung,Wasser,Energie
2022-11-19,0,14,1,3,9,7
2022-11-20,0,7,0,1,5,8
2022-11-21,6,16,2,3,6,13
2022-11-22,0,6,2,0,8,12
2022-11-23,0,18,2,2,7,9
2022-11-24,2,19,8,3,4,25
2022-11-25,1,16,6,2,7,11
2022-11-26,0,4,1,3,9,3
2022-11-27,0,14,9,5,15,1
2022-11-28,0,12,1,0,5,15
2022-11-29,1,7,6,2,10,15
2022-11-30,0,7,1,0,2,1
2022-12-01,0,13,2,1,10,19
2022-12-02,1,20,2,4,17,10
2022-12-03,0,12,3,2,10,18
2022-12-04,2,13,3,4,9,7
2022-12-05,0,13,1,5,11,7
2022-12-06,0,11,6,2,5,11
2022-12-07,0,3,0,0,3,2
2022-12-08,1,8,0,5,5,4
2022-12-09,0,7,3,4,7,3
2022-12-10,1,10,2,5,5,5
2022-12-11,0,14,1,11,25,3
2022-12-12,0,14,7,6,13,15
2022-12-13,0,12,3,4,11,10
2022-12-14,0,12,4,3,16,7
2022-12-15,0,9,3,1,7,8
2022-12-16,0,11,2,1,6,3
2022-12-17,0,2,2,0,1,3
2022-12-18,0,4,1,1,5,1
2022-12-19,0,3,1,10,12,14
2022-12-20,0,9,1,5,6,5
2022-12-21,0,4,1,1,0,7
2022-12-22,0,4,3,3,2,4
2022-12-23,0,6,3,0,4,4
2022-12-24,1,17,7,0,7,4
2022-12-25,0,10,4,0,12,1
2022-12-26,1,9,12,1,13,1
2022-12-27,0,2,1,0,1,0
2022-12-28,1,8,6,0,7,2
2022-12-29,1,4,0,0,4,7
2022-12-30,0,1,0,0,2,3
2022-12-31,0,1,0,0,1,1
2023-01-01,0,3,2,0,0,2
2023-01-02,0,6,1,1,3,0
2023-01-03,0,0,2,0,0,0
